Started GRPC Client

To alter the type, rate, SMA Channel or SMA Window, use these commands:
type <arg>
rate <arg>
channel <arg>
window <arg>

1 - TV3 Norge, avg muted 50.129630568s, views 4 at 15:27:49.
2 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
3 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
4 - Discovery, avg muted 33.886234683s, views 2 at 15:27:25.
5 - TV2 Nyhet, avg muted 23.483134417s, views 4 at 15:27:55.
6 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
7 - NRK1, avg muted 21.195435557s, views 9 at 15:28:01.
8 - NRK2, avg muted 14.225469597s, views 2 at 15:27:42.
9 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
10 - BBC Knowledge, avg muted 10.399340971s, views 1 at 15:27:26.

1 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
2 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
3 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
4 - Discovery, avg muted 33.886234683s, views 2 at 15:27:25.
5 - TV2 Nyhet, avg muted 23.483134417s, views 5 at 15:28:05.
6 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
7 - NRK1, avg muted 21.195435557s, views 9 at 15:28:01.
8 - TV2 HD, avg muted 15.57336908s, views 1 at 15:27:52.
9 - NRK2, avg muted 14.225469597s, views 2 at 15:27:42.
10 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.

1 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
2 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
3 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
4 - Discovery, avg muted 33.886234683s, views 2 at 15:27:25.
5 - TV2 Nyhet, avg muted 23.483134417s, views 5 at 15:28:05.
6 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
7 - NRK1, avg muted 21.195435557s, views 9 at 15:28:01.
8 - TV2 HD, avg muted 15.57336908s, views 1 at 15:27:52.
9 - NRK2, avg muted 14.225469597s, views 2 at 15:27:42.
10 - BBC Knowledge, avg muted 10.399340971s, views 1 at 15:27:26.

1 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
2 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
3 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
4 - Discovery, avg muted 33.886234683s, views 2 at 15:27:25.
5 - TV2 Norge, avg muted 29.777903913s, views 9 at 15:28:14.
